Symbol, StockName,Sector,Industry,Currency,Board
UBIS,UBIS (ASIA) PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
UEC,UNIMIT ENGINEERING PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
UMI,THE UNION MOSAIC INDUSTRY PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
UMS,UNIQUE MINING SERVICES PUBLIC COMPANY LIMITED,Resources,-,THB,mai
UNIQ,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
UOBKH,UOB KAY HIAN SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
UP,UNION PLASTIC PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
UPA,UNITED POWER OF ASIA PUBLIC COMPANY LIMITED,Technology,-,THB,mai
UPF,UNION PIONEER PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
URBNPF,URBANA PROPERTY FUND (LEASE HOLD),Property & Construction,Property Fund & REITs,THB,SET
UREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
UT,UNION TEXTILE INDUSTRIES PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
UTP,UNITED PAPER PUBLIC COMPANY LIMITED,Industrials,Paper & Printing Materials,THB,SET
UV,UNIVENTURES PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
UWC,UA WITHYA PUBLIC COMPANY LIMITED,Resources,-,THB,mai
VARO,VAROPAKORN PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
VCOM,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED,Technology,-,THB,mai
VGI,VGI PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
VI,VENTURE INCORPORATION PUBLIC COMPANY LIMITED,-,Companies Under Rehabilitation,NaN,SET
VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
VL,V.L. ENTERPRISE PUBLIC COMPANY LIMITED,Services,-,THB,mai
VNG,VANACHAI GROUP PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
VNT,VINYTHAI PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
VPO,VICHITBHAN PALMOIL PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
VRANDA,VERANDA RESORT PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
WAVE,WAVE ENTERTAINMENT PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
